timestamp,rainfall_24h,region_id,elevation,distance_to_river_m,soil_clay_pct,population_density,flood_occurred
2026-09-08,1.7,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-09,1.2,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-10,0.8,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-11,4.5,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-12,10.2,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-13,26.7,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-14,0.0,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-15,1.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-16,7.2,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-17,10.8,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-18,18.2,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-19,0.0,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-20,6.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-21,15.3,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-22,0.8,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-23,1.8,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-24,2.7,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-25,16.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-26,17.5,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-27,3.6,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-28,9.8,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-29,7.4,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-30,49.2,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-31,30.7,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-01,14.1,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-02,9.1,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-03,3.4,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-04,2.8,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-05,8.4,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-06,6.2,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-07,6.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-08,2.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-09,1.4,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-10,0.8,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-11,3.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-12,11.4,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-13,28.3,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-14,1.0,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-15,1.5,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-16,13.5,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-17,12.6,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-18,18.9,18-300-00103,52.88,853.6,28.3,673.4,0
2026-09-19,0.0,18-300-00103,52.88,853.6,28.3,673.4,0
2026-08-20,2.4,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-21,4.5,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-22,2.3,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-23,6.3,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-24,9.5,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-25,23.5,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-26,21.2,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-27,4.7,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-28,4.2,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-29,7.1,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-30,28.8,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-31,32.8,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-01,27.1,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-02,2.9,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-03,5.7,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-04,6.8,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-05,4.1,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-06,6.5,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-07,7.3,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-08,1.7,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-09,1.3,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-10,1.3,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-11,5.8,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-12,15.8,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-13,24.0,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-14,0.2,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-15,1.4,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-16,10.0,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-17,17.0,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-18,30.9,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-09-19,0.0,18-300-00104,105.5,1570.4,28.3,343.6,0
2026-08-20,0.2,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-21,14.0,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-22,0.9,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-23,1.3,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-24,3.5,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-25,15.5,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-26,9.1,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-27,5.5,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-28,8.5,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-29,4.4,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-30,35.7,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-08-31,22.3,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-01,13.3,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-02,1.0,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-03,1.6,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-04,11.3,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-05,1.4,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-06,5.1,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-07,5.0,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-08,1.8,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-09,0.8,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-10,2.1,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-11,3.7,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-12,12.4,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-13,34.6,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-14,0.0,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-15,1.2,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-16,5.8,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-17,12.4,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-18,28.1,18-300-00105,46.15,6823.8,28.3,397.5,0
2026-09-19,0.0,18-300-00105,46.15,6823.8,28.3,397.5,0
