City,Latitude,Longitude,Rainfall_mm,River_Level_m,Soil_Moisture_%,Elevation_m,Risk_Label
Mumbai,19.076,72.8777,149.96,37.67,100.0,14,2
Mumbai,19.076,72.8777,0.47,6.23,10.0,14,0
Mumbai,19.076,72.8777,86.19,25.98,65.69,14,2
Mumbai,19.076,72.8777,88.39,23.86,63.95,14,2
Mumbai,19.076,72.8777,0.0,7.04,16.76,14,0
Mumbai,19.076,72.8777,40.68,14.7,41.47,14,2
Mumbai,19.076,72.8777,36.46,11.33,40.6,14,2
Mumbai,19.076,72.8777,51.15,16.4,50.58,14,2
Mumbai,19.076,72.8777,40.41,14.16,23.83,14,2
Mumbai,19.076,72.8777,42.14,13.72,48.81,14,2
Mumbai,19.076,72.8777,66.6,22.4,48.18,14,2
Mumbai,19.076,72.8777,16.08,8.26,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.74,13.56,14,0
Mumbai,19.076,72.8777,38.9,18.53,20.54,14,2
Mumbai,19.076,72.8777,0.0,3.44,14.96,14,0
Mumbai,19.076,72.8777,43.48,15.59,36.59,14,2
Mumbai,19.076,72.8777,190.41,45.3,100.0,14,3
Mumbai,19.076,72.8777,64.12,20.27,53.8,14,2
Mumbai,19.076,72.8777,0.0,10.19,10.0,14,2
Mumbai,19.076,72.8777,0.0,6.75,25.39,14,0
Mumbai,19.076,72.8777,51.15,16.91,36.65,14,2
Mumbai,19.076,72.8777,0.0,3.69,10.0,14,0
Mumbai,19.076,72.8777,53.41,17.01,59.42,14,2
Mumbai,19.076,72.8777,8.91,5.77,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.54,10.0,14,0
Mumbai,19.076,72.8777,72.01,23.65,47.43,14,2
Mumbai,19.076,72.8777,79.35,22.33,52.42,14,2
Mumbai,19.076,72.8777,102.51,27.62,74.18,14,2
Mumbai,19.076,72.8777,87.96,23.44,64.9,14,2
Mumbai,19.076,72.8777,27.21,11.36,35.66,14,2
Mumbai,19.076,72.8777,0.0,9.49,10.0,14,0
Mumbai,19.076,72.8777,11.5,8.56,10.0,14,0
Mumbai,19.076,72.8777,44.75,13.73,53.32,14,2
Mumbai,19.076,72.8777,45.02,18.55,28.97,14,2
Mumbai,19.076,72.8777,0.0,5.95,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.43,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.28,11.59,14,0
Mumbai,19.076,72.8777,0.0,8.23,10.0,14,0
Mumbai,19.076,72.8777,169.02,39.76,100.0,14,3
Mumbai,19.076,72.8777,0.0,4.18,10.0,14,0
Mumbai,19.076,72.8777,0.0,2.84,16.96,14,0
Mumbai,19.076,72.8777,48.48,16.5,48.5,14,2
Mumbai,19.076,72.8777,32.83,12.84,25.69,14,2
Mumbai,19.076,72.8777,49.82,13.54,33.63,14,2
Mumbai,19.076,72.8777,5.87,8.21,10.0,14,0
Mumbai,19.076,72.8777,0.0,5.44,10.0,14,0
Mumbai,19.076,72.8777,60.7,21.2,53.29,14,2
Mumbai,19.076,72.8777,45.38,18.04,26.27,14,2
Mumbai,19.076,72.8777,76.5,18.62,48.4,14,2
Mumbai,19.076,72.8777,0.0,7.05,10.0,14,0
Mumbai,19.076,72.8777,42.02,14.18,19.55,14,2
Mumbai,19.076,72.8777,0.0,4.3,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.99,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.4,10.0,14,0
Mumbai,19.076,72.8777,0.0,12.12,10.0,14,2
Mumbai,19.076,72.8777,58.27,17.25,48.41,14,2
Mumbai,19.076,72.8777,9.05,7.56,25.36,14,0
Mumbai,19.076,72.8777,84.51,22.78,56.73,14,2
Mumbai,19.076,72.8777,85.07,22.56,65.58,14,2
Mumbai,19.076,72.8777,16.71,11.58,24.01,14,2
Mumbai,19.076,72.8777,41.27,16.37,43.83,14,2
Mumbai,19.076,72.8777,56.67,19.25,30.07,14,2
Mumbai,19.076,72.8777,35.1,14.88,30.15,14,2
Mumbai,19.076,72.8777,58.47,16.14,51.24,14,2
Mumbai,19.076,72.8777,22.52,11.43,24.83,14,2
Mumbai,19.076,72.8777,24.28,11.92,10.0,14,2
Mumbai,19.076,72.8777,36.07,14.66,24.06,14,2
Mumbai,19.076,72.8777,58.41,16.89,50.85,14,2
Mumbai,19.076,72.8777,0.0,9.06,10.0,14,0
Mumbai,19.076,72.8777,31.95,15.17,32.69,14,2
Mumbai,19.076,72.8777,38.26,13.62,44.7,14,2
Mumbai,19.076,72.8777,206.23,47.52,100.0,14,3
Mumbai,19.076,72.8777,0.0,6.16,10.0,14,0
Mumbai,19.076,72.8777,0.0,5.16,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.97,10.0,14,0
Mumbai,19.076,72.8777,27.33,13.82,33.54,14,2
Mumbai,19.076,72.8777,118.01,29.33,89.1,14,2
Mumbai,19.076,72.8777,0.0,5.89,10.0,14,0
Mumbai,19.076,72.8777,26.04,15.05,15.12,14,2
Mumbai,19.076,72.8777,0.0,7.94,10.0,14,0
Mumbai,19.076,72.8777,0.0,10.1,17.96,14,2
Mumbai,19.076,72.8777,0.0,6.22,10.0,14,0
Mumbai,19.076,72.8777,91.13,24.87,64.92,14,2
Mumbai,19.076,72.8777,0.0,5.54,10.0,14,0
Mumbai,19.076,72.8777,20.17,10.0,18.37,14,2
Mumbai,19.076,72.8777,26.13,14.6,32.96,14,2
Mumbai,19.076,72.8777,39.96,16.36,50.43,14,2
Mumbai,19.076,72.8777,75.74,21.43,69.92,14,2
Mumbai,19.076,72.8777,67.62,22.16,59.17,14,2
Mumbai,19.076,72.8777,95.46,28.43,69.87,14,2
Mumbai,19.076,72.8777,72.6,21.19,59.55,14,2
Mumbai,19.076,72.8777,64.91,18.35,56.11,14,2
Mumbai,19.076,72.8777,49.86,17.35,40.35,14,2
Mumbai,19.076,72.8777,0.0,8.49,14.95,14,0
Mumbai,19.076,72.8777,14.27,10.39,10.0,14,2
Mumbai,19.076,72.8777,20.76,11.25,28.7,14,2
Mumbai,19.076,72.8777,0.0,7.35,10.0,14,0
Mumbai,19.076,72.8777,6.27,7.45,10.0,14,0
Mumbai,19.076,72.8777,13.49,6.08,20.44,14,0
Mumbai,19.076,72.8777,0.4,7.34,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.74,10.0,14,0
Mumbai,19.076,72.8777,24.64,14.09,10.0,14,2
Mumbai,19.076,72.8777,1.87,4.91,10.0,14,0
Mumbai,19.076,72.8777,22.97,13.57,29.6,14,2
Mumbai,19.076,72.8777,36.21,13.8,17.5,14,2
Mumbai,19.076,72.8777,7.71,9.81,10.0,14,2
Mumbai,19.076,72.8777,43.2,17.44,32.5,14,2
Mumbai,19.076,72.8777,0.0,5.66,10.0,14,0
Mumbai,19.076,72.8777,5.41,9.98,10.0,14,2
Mumbai,19.076,72.8777,20.11,10.96,18.78,14,2
Mumbai,19.076,72.8777,5.4,9.5,11.54,14,0
Mumbai,19.076,72.8777,19.2,12.05,10.0,14,2
Mumbai,19.076,72.8777,16.46,12.79,18.09,14,2
Mumbai,19.076,72.8777,0.0,6.9,10.0,14,0
Mumbai,19.076,72.8777,0.0,4.28,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.97,10.0,14,0
Mumbai,19.076,72.8777,21.29,9.99,26.99,14,2
Mumbai,19.076,72.8777,4.46,7.84,10.0,14,0
Mumbai,19.076,72.8777,0.0,11.94,10.0,14,2
Mumbai,19.076,72.8777,30.47,10.91,28.1,14,2
Mumbai,19.076,72.8777,19.58,10.87,10.0,14,2
Mumbai,19.076,72.8777,4.73,7.14,27.81,14,0
Mumbai,19.076,72.8777,9.55,9.96,25.45,14,2
Mumbai,19.076,72.8777,0.0,7.08,10.0,14,0
Mumbai,19.076,72.8777,8.28,8.3,10.0,14,0
Mumbai,19.076,72.8777,13.91,7.66,21.02,14,0
Mumbai,19.076,72.8777,22.47,10.51,13.52,14,2
Mumbai,19.076,72.8777,15.51,8.5,30.53,14,0
Mumbai,19.076,72.8777,17.16,11.22,20.54,14,2
Mumbai,19.076,72.8777,0.0,9.18,10.0,14,0
Mumbai,19.076,72.8777,29.0,12.4,36.38,14,2
Mumbai,19.076,72.8777,18.03,14.97,10.73,14,2
Mumbai,19.076,72.8777,14.09,7.76,10.0,14,0
Mumbai,19.076,72.8777,22.37,13.73,47.55,14,2
Mumbai,19.076,72.8777,8.07,6.75,13.99,14,0
Mumbai,19.076,72.8777,0.0,8.13,10.0,14,0
Mumbai,19.076,72.8777,14.23,12.03,10.28,14,2
Mumbai,19.076,72.8777,28.66,14.48,10.0,14,2
Mumbai,19.076,72.8777,0.0,3.88,20.02,14,0
Mumbai,19.076,72.8777,7.89,12.14,10.0,14,2
Mumbai,19.076,72.8777,0.0,8.6,10.0,14,0
Mumbai,19.076,72.8777,20.66,8.62,30.29,14,0
Mumbai,19.076,72.8777,25.54,12.91,13.58,14,2
Mumbai,19.076,72.8777,16.48,9.71,10.0,14,0
Mumbai,19.076,72.8777,8.99,8.48,17.82,14,0
Mumbai,19.076,72.8777,0.0,7.47,10.0,14,0
Mumbai,19.076,72.8777,16.38,11.03,12.24,14,2
Mumbai,19.076,72.8777,26.15,9.74,31.99,14,0
Mumbai,19.076,72.8777,0.0,3.89,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.51,10.0,14,0
Mumbai,19.076,72.8777,34.67,15.23,13.82,14,2
Mumbai,19.076,72.8777,0.0,8.04,10.0,14,0
Mumbai,19.076,72.8777,34.45,16.32,26.66,14,2
Mumbai,19.076,72.8777,17.25,13.05,10.77,14,2
Mumbai,19.076,72.8777,17.59,9.87,10.0,14,2
Mumbai,19.076,72.8777,10.97,7.82,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.62,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.02,10.0,14,0
Mumbai,19.076,72.8777,19.05,10.54,26.1,14,2
Mumbai,19.076,72.8777,0.0,12.88,10.0,14,2
Mumbai,19.076,72.8777,18.07,8.74,20.9,14,0
Mumbai,19.076,72.8777,15.53,8.8,23.16,14,0
Mumbai,19.076,72.8777,6.72,9.44,10.0,14,0
Mumbai,19.076,72.8777,9.38,12.88,17.14,14,2
Mumbai,19.076,72.8777,16.15,9.33,13.6,14,0
Mumbai,19.076,72.8777,13.95,10.69,10.0,14,2
Mumbai,19.076,72.8777,23.37,9.49,35.01,14,0
Mumbai,19.076,72.8777,0.0,7.59,10.05,14,0
Mumbai,19.076,72.8777,4.95,8.67,18.31,14,0
Mumbai,19.076,72.8777,21.29,11.97,10.0,14,2
Mumbai,19.076,72.8777,0.0,9.09,10.0,14,0
Mumbai,19.076,72.8777,24.43,13.16,32.44,14,2
Mumbai,19.076,72.8777,4.77,8.2,10.0,14,0
Mumbai,19.076,72.8777,0.0,3.71,10.0,14,0
Mumbai,19.076,72.8777,41.05,12.1,29.81,14,2
Mumbai,19.076,72.8777,0.0,5.8,10.0,14,0
Mumbai,19.076,72.8777,0.0,9.18,15.34,14,0
Mumbai,19.076,72.8777,0.0,5.63,10.0,14,0
Mumbai,19.076,72.8777,32.52,12.6,25.82,14,2
Mumbai,19.076,72.8777,0.0,3.93,14.45,14,0
Mumbai,19.076,72.8777,0.0,11.66,10.0,14,2
Mumbai,19.076,72.8777,23.6,12.87,16.35,14,2
Mumbai,19.076,72.8777,17.84,10.19,19.8,14,2
Mumbai,19.076,72.8777,9.33,6.96,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.94,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.79,15.15,14,0
Mumbai,19.076,72.8777,25.46,10.89,10.0,14,2
Mumbai,19.076,72.8777,7.31,8.14,10.0,14,0
Kochi,9.9312,76.2673,25.22,11.24,22.4,5,2
Kochi,9.9312,76.2673,15.85,3.8,26.66,5,2
Kochi,9.9312,76.2673,10.2,3.38,10.0,5,0
Kochi,9.9312,76.2673,23.33,7.44,30.72,5,2
Kochi,9.9312,76.2673,21.22,6.18,20.98,5,2
Kochi,9.9312,76.2673,23.99,4.71,30.69,5,2
Kochi,9.9312,76.2673,4.78,2.91,11.34,5,0
Kochi,9.9312,76.2673,29.93,7.08,31.97,5,2
Kochi,9.9312,76.2673,0.0,6.14,10.0,5,2
Kochi,9.9312,76.2673,17.75,4.49,36.42,5,2
Kochi,9.9312,76.2673,0.0,3.55,10.0,5,2
Kochi,9.9312,76.2673,3.5,4.11,15.05,5,2
Kochi,9.9312,76.2673,50.96,9.62,43.45,5,2
Kochi,9.9312,76.2673,47.03,8.53,40.77,5,2
Kochi,9.9312,76.2673,11.95,5.72,10.0,5,2
Kochi,9.9312,76.2673,0.0,-1.33,10.0,5,0
Kochi,9.9312,76.2673,38.5,10.8,25.46,5,2
Kochi,9.9312,76.2673,0.0,3.63,10.0,5,2
Kochi,9.9312,76.2673,0.0,1.33,10.0,5,0
Kochi,9.9312,76.2673,0.0,2.57,10.0,5,0
Kochi,9.9312,76.2673,28.83,10.33,24.15,5,2
Kochi,9.9312,76.2673,23.1,11.36,10.0,5,2
Kochi,9.9312,76.2673,0.0,3.89,19.47,5,2
Kochi,9.9312,76.2673,5.75,7.1,10.0,5,2
Kochi,9.9312,76.2673,0.0,0.52,10.0,5,0
Kochi,9.9312,76.2673,0.0,2.66,15.83,5,0
Kochi,9.9312,76.2673,4.64,6.06,10.0,5,2
Kochi,9.9312,76.2673,0.0,-0.31,10.0,5,0
Kochi,9.9312,76.2673,30.72,8.79,36.85,5,2
Kochi,9.9312,76.2673,0.0,2.95,10.0,5,0
Kochi,9.9312,76.2673,20.68,7.64,22.37,5,2
Kochi,9.9312,76.2673,0.0,0.72,10.0,5,0
Kochi,9.9312,76.2673,6.27,3.93,12.09,5,2
Kochi,9.9312,76.2673,0.0,-0.7,21.56,5,0
Kochi,9.9312,76.2673,0.0,4.17,10.0,5,2
Kochi,9.9312,76.2673,18.03,6.1,10.58,5,2
Kochi,9.9312,76.2673,23.14,6.25,30.17,5,2
Kochi,9.9312,76.2673,25.64,8.83,15.44,5,2
Kochi,9.9312,76.2673,6.33,1.39,10.0,5,0
Kochi,9.9312,76.2673,0.0,5.13,10.0,5,2
Kochi,9.9312,76.2673,16.09,5.27,14.85,5,2
Kochi,9.9312,76.2673,71.16,16.13,50.42,5,2
Kochi,9.9312,76.2673,24.71,2.39,20.41,5,0
Kochi,9.9312,76.2673,3.08,1.13,10.0,5,0
Kochi,9.9312,76.2673,13.3,1.55,10.0,5,0
Kochi,9.9312,76.2673,0.0,3.09,10.0,5,0
Kochi,9.9312,76.2673,0.0,3.58,10.0,5,2
Kochi,9.9312,76.2673,0.0,3.33,10.0,5,0
Kochi,9.9312,76.2673,10.5,3.47,10.0,5,0
Kochi,9.9312,76.2673,3.19,1.72,10.0,5,0
Kochi,9.9312,76.2673,0.0,2.53,10.0,5,0
Kochi,9.9312,76.2673,0.0,4.32,10.0,5,2
Kochi,9.9312,76.2673,66.93,13.8,51.45,5,2
Kochi,9.9312,76.2673,8.92,6.26,10.0,5,2
Kochi,9.9312,76.2673,0.0,4.92,10.0,5,2
Kochi,9.9312,76.2673,33.09,10.64,26.17,5,2
Kochi,9.9312,76.2673,7.82,3.28,10.0,5,0
Kochi,9.9312,76.2673,32.71,7.45,27.26,5,2
Kochi,9.9312,76.2673,0.0,0.51,10.0,5,0
Kochi,9.9312,76.2673,0.0,6.62,10.0,5,2
Kochi,9.9312,76.2673,11.04,7.04,10.0,5,2
Kochi,9.9312,76.2673,0.0,1.61,10.0,5,0
Kochi,9.9312,76.2673,0.0,3.07,10.0,5,0
Kochi,9.9312,76.2673,39.42,8.14,15.54,5,2
Kochi,9.9312,76.2673,2.24,2.77,11.0,5,0
Kochi,9.9312,76.2673,45.85,14.1,39.45,5,2
Kochi,9.9312,76.2673,31.19,7.46,26.63,5,2
Kochi,9.9312,76.2673,0.0,2.63,10.0,5,0
Kochi,9.9312,76.2673,53.33,12.71,43.57,5,2
Kochi,9.9312,76.2673,17.69,5.13,10.0,5,2
Kochi,9.9312,76.2673,43.17,9.17,21.26,5,2
Kochi,9.9312,76.2673,28.33,10.48,18.15,5,2
Kochi,9.9312,76.2673,1.53,3.37,10.0,5,0
Kochi,9.9312,76.2673,0.0,4.26,10.0,5,2
Kochi,9.9312,76.2673,43.47,8.69,29.75,5,2
Kochi,9.9312,76.2673,18.75,4.4,21.42,5,2
Kochi,9.9312,76.2673,41.39,9.61,33.5,5,2
Kochi,9.9312,76.2673,46.93,15.49,45.01,5,2
Kochi,9.9312,76.2673,26.24,6.04,24.59,5,2
Kochi,9.9312,76.2673,25.36,7.15,14.34,5,2
Kochi,9.9312,76.2673,0.0,-0.98,10.0,5,0
Kochi,9.9312,76.2673,25.91,7.98,15.89,5,2
Kochi,9.9312,76.2673,4.05,3.73,10.0,5,2
